TestTime,DataYear,LocalTime,UUID,Direction,MeanThroughputMbps,MinRTT,LossRate,Subdivision1Name,City,Latitude,Longitude,AccuracyRadiusKm,ASName,ASNumber
2021-12-18 03:41:32.239587 UTC,2021,11:41:32,ndt-vdw56_1637877408_00000000000DDD9D,Download,16.310842012690504,23.947,0.0010699844378178585,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2021-12-18 03:04:03.153856 UTC,2021,11:04:03,ndt-vdw56_1637877408_00000000000DD974,Download,0.39864149464377818,24.59,0.19205074740034661,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2021-12-18 02:18:51.429812 UTC,2021,10:18:51,ndt-9pvsj_1637561968_00000000000DCC05,Download,18.908285639195196,19.89,0.0,Taipei City,Taipei,25.0504,121.5324,20,Mobile Business Group,17421
2021-12-18 00:14:54.067599 UTC,2021,08:14:54,ndt-btbbm_1637711621_00000000000CA234,Download,9.3759394809633019,27.623,0.0,Taipei City,Taipei,25.0504,121.5324,10,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),24157
2021-12-17 23:44:50.032228 UTC,2021,07:44:50,ndt-9pvsj_1637561968_00000000000DBC55,Download,129.79230748148237,20.426,0.0,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2021-12-17 23:04:33.995553 UTC,2021,07:04:33,ndt-btbbm_1637711621_00000000000C9B6D,Download,57.863784288336504,20.523,0.0,Taipei City,Taipei,25.0504,121.5324,10,"Taiwan Mobile Co., Ltd.",24158
2021-12-17 20:59:53.851510 UTC,2021,04:59:53,ndt-vdw56_1637877408_00000000000DAF04,Download,10.901335643523691,28.062,0.0,Taipei City,Taipei,25.0504,121.5324,10,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),24157
2021-12-17 12:59:53.707271 UTC,2021,20:59:53,ndt-btbbm_1637711621_00000000000C5ED5,Download,5.21503332453662,27.422,0.0,Taipei City,Taipei,25.0504,121.5324,10,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),24157
2021-12-17 12:14:36.743444 UTC,2021,20:14:36,ndt-9pvsj_1637561968_00000000000D77C8,Download,3.7159491689928461,16.652,0.0,Taipei City,Taipei,25.0504,121.5324,10,"Taiwan Mobile Co., Ltd.",24158
2021-12-17 11:37:08.534266 UTC,2021,19:37:08,ndt-btbbm_1637711621_00000000000C563D,Download,1.2767615797935328,63.216,0.02883119657544268,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2021-12-17 10:24:23.320230 UTC,2021,18:24:23,ndt-btbbm_1637711621_00000000000C4ED1,Download,79.264647441379125,22.97,0.0,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2021-12-17 08:56:40.558053 UTC,2021,16:56:40,ndt-btbbm_1637711621_00000000000C457D,Download,85.052855417518884,19.203,0.0,Taipei City,Taipei,25.0504,121.5324,10,"Taiwan Mobile Co., Ltd.",24158
2021-12-17 08:11:33.183486 UTC,2021,16:11:33,ndt-9pvsj_1637561968_00000000000D5F74,Download,16.361874800663653,17.984,0.0041689976673956342,Taipei City,Taipei,25.0504,121.5324,10,"Taiwan Mobile Co., Ltd.",24158
2021-12-17 07:49:53.972462 UTC,2021,15:49:53,ndt-vdw56_1637877408_00000000000D52F9,Download,9.5395499475838736,28.115,0.0,Taipei City,Taipei,25.0504,121.5324,10,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),24157
2021-12-17 06:38:48.197541 UTC,2021,14:38:48,ndt-9pvsj_1637561968_00000000000D5672,Download,3.3197072514456187,21.886,0.0165513345056243,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2021-12-17 05:55:06.951582 UTC,2021,13:55:06,ndt-vdw56_1637877408_00000000000D454C,Download,0.23593016668892813,47.979,0.004997447732051131,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2021-12-11 03:50:00.052256 UTC,2021,11:50:00,ndt-btbbm_1637711621_000000000008F94F,Download,8.80740555405845,19.017,0.0013010053222945004,Taipei City,Taipei,25.0504,121.5324,100,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),24157
2021-12-11 02:20:44.911166 UTC,2021,10:20:44,ndt-9pvsj_1637561968_00000000000A06B4,Download,173.93226540521118,14.988,0.000626399767787895,Taipei City,Taipei,25.0504,121.5324,20,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),24157
2021-12-11 00:36:20.607302 UTC,2021,08:36:20,ndt-btbbm_1637711621_000000000008E72D,Download,175.93502357828771,26.824,0.0,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2021-12-11 00:34:14.881064 UTC,2021,08:34:14,ndt-9pvsj_1637561968_000000000009FC9B,Download,7.5192746750578285,17.547,0.00085312100099530787,Taipei City,Taipei,25.0504,121.5324,50,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),24157
